#separator:tab
#html:false
#notetype:Basic
#deck:Койне
#tags column:4
#columns:Греческое слово	Перевод	Грамматика	Теги
φύλαξ, φύλακος, ὁ	страж	III скл., м.р.; гортанная основа φυλακ-; D pl. φύλαξι(ν)	урок12
φυλάσσω	хранить, охранять, стеречь	основа φυλασσ-; I спр.; pass. φυλάσσομαι	урок09 урок18 урок20
φῶς, φωτός, τό	свет	III скл., ср.р.; согласная основа φωτ-	урок06 урок12
χαίρω	радоваться	основа χαιρ-; I спр. (не контрактный!)	урок10
χαρά, -ᾶς, ἡ	радость	I скл., ж.р.; основа на -α после ρ → G -ᾶς	урок07
χάρις, -ιτος, ἡ	благодать	III скл., ж.р.; согласная основа χαριτ-; A sg. χάριν	урок03 урок12
Χριστός, -οῦ, ὁ	Христос, Помазанник	II скл., м.р.	урок04 урок05 урок08 урок16
ψάλλω	петь (псалмы)	основа ψαλλ-; I спр.; + Dat.	урок09
ψυχή, -ῆς, ἡ	душа	I скл.; основа на -η; ж.р.	урок02 урок08 урок14
ὥρα, -ας, ἡ	час, время	I скл.; основа на -α	урок02
ὡς	как, как только, когда	союз / наречие; при числительных «около»	матфей01
